Curso,Semestre,Disciplina
Análise e Desenvolvimento de Sistemas EAD,1º Semestre,Lógica Matemática
,,Lógica Computacional usando Python
,,Arquitetura e Organização de Computadores
,,Métodos Ágeis
,,Modelagem de Banco de Dados e SQL
,,Desenvolvimento de Sistemas com Python
,2º Semestre,Programação Orientada a Objetos
,,Estrutura de Dados e Implementação
,,Engenharia de Software
,,Garantia de Qualidade (Quality Assurance)
,,Segurança Cibernética (Cyber Security)
,,Rede de Computadores
,3º Semestre,Design Web
,,Programação Web para Front End
,,Programação Web para Back End
,,Desenvolvimento Mobile
,,Desenvolvimento de Games
,,Administração de Servidores e Data Center
,4º Semestre,Ferramentas de Desenvolvimento e Cloud Computing
,,"Arquiteturas Disruptivas: IOT, Big Data e IA"
,,Design de Software Ágil
,,Machine Learning & CHATBOT
,,LIBRAS (Língua Brasileira de Sinais)
,,Projeto Integrador I: Desenvolvimento de Aplicações
,5º Semestre,Contêineres & Kubernetes (Eletiva)
,,Ética Hacking e Ransomware (Eletiva)
,,Forense Computacional e Perícias Digitais (Eletiva)
,,DevOps em Nuvem: Orquestração de Contêineres (Eletiva)
,,"Segurança, Recuperação de Desastres e Cloud Backup (Eletiva)"
,,Projeto Integrador II: Solução de Sistemas
,6º Semestre,Atividades Complementares em Desenvolvimento I
,,Atividades Complementares em Desenvolvimento II
,,Elaboração do TCC I
,,Elaboração do TCC II
,,Apresentação e Defesa do TCC
,,Extensão Curricular (Experiência Prática)
---,---,---
Ciência de Dados EAD,1º Semestre,Lógica Matemática
,,Lógica Computacional usando Python
,,Estatística e Probabilidade para Data Science
,,Modelagem de Banco de Dados e SQL
,,Programação para Ciência de Dados (Python & R)
,,Processamento e Coleta de Dados
,2º Semestre,Bancos de Dados para Ciência de Dados
,,Introdução ao Machine Learning
,,Data Mining e Análise Preditiva
,,Modelos Estatísticos Avançados
,,Séries Temporais e Previsão
,,Deep Learning e Redes Neurais
,3º Semestre,Big Data e Computação Distribuída
,,Engenharia de Dados e Pipelines
,,Análise de Dados em Tempo Real
,,Machine Learning Ops (MLOps)
,,Explicação de Inteligência Artificial (XAI)
,,Aplicações de Negócios e Tomada de Decisão
,4º Semestre,Ética e Privacidade em Ciência de Dados
,,Arquitetura e Organização de Computadores
,,Métodos Ágeis
,,Linguagens e Comunicação
,,ESG: Sustentabilidade das Organizações
